,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
0,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.3502351379506896,2.775e-05,-2.775e-05,5.144809188605564,0.00216,-0.00216,0.13627761829254784,0.318,-0.146,1.37561251277303,0.0819,-0.0819,6.4245448222491195,19.5,-19.5,1.1817271953786161,0.26,-0.15,6.677083461247136,,,4.549551762225079,29.45,-16.65,3.6054978451748854,1.0,q1_q17_dr25_tce,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.6559643894322293,0.105,-0.061,291.93423,48.141651,15.347
1,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,4.014911356403454,0.0002479,-0.0002479,5.096897635072884,0.00352,-0.00352,0.46121512321265623,0.059,-0.443,1.7060200102803444,0.116,-0.116,6.775137754367298,35.5,-35.5,1.3428648031925547,0.32,-0.19,6.095824562432225,,,2.3135250330323798,2.87,-1.62,3.288401887516811,2.0,q1_q17_dr25_tce,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.6559643894322293,0.105,-0.061,291.93423,48.141651,15.347
2,10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0,0,0,0,0,3.039708007406348,1.494e-05,-1.494e-05,5.175303340586861,0.000581,-0.000581,0.6775257996569884,5.126,-0.077,1.0232419816433331,0.0341,-0.0341,9.290075339995036,171.0,-171.0,2.747270914255491,3.92,-1.31,6.459904454377535,,,3.696351468952637,31.04,-10.49,4.3476939555933765,1.0,q1_q17_dr25_tce,5853.0,158.0,-176.0,4.544,0.044,-0.176,0.6248683398066509,0.233,-0.078,297.00482,48.134129,15.436
3,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.0068450579675678,2.63e-07,-2.63e-07,5.143460566643332,0.000115,-0.000115,0.8224195162640845,0.115,-0.092,1.225658950803309,0.00537,-0.00537,8.997171903684052,12.8,-12.8,3.5397992310997837,8.5,-2.83,7.241366283322318,,,6.7945417870401235,668.95,-230.35,6.227721737567575,1.0,q1_q17_dr25_tce,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.5827741230785748,0.201,-0.067,285.53461,48.28521,15.597
4,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.2600483021739617,3.761e-06,-3.761e-06,5.15095099616169,0.00113,-0.00113,0.5312163134137247,0.235,-0.478,0.9762563130415891,0.042,-0.042,6.404070763367513,16.9,-16.9,1.3217558399823195,0.88,-0.35,7.249215057114389,,,6.832126150456476,874.33,-314.24,3.735285826928092,1.0,q1_q17_dr25_tce,6031.0,169.0,-211.0,4.438,0.07,-0.21,0.7158866675294348,0.334,-0.133,288.75488,48.2262,15.509
5,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.492735965551391,2.036e-05,-2.036e-05,5.148663328324019,0.00141,-0.00141,0.43048287108345223,0.03,-0.428,1.7217839722656387,0.061,-0.061,7.325478284485803,24.2,-24.2,1.589235205116581,1.27,-0.42,6.728628613084702,,,4.751950917196286,112.85,-36.7,4.212127597878484,1.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.6790482561804436,0.315,-0.105,296.28613,48.22467,15.714
6,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.635969831487176,1.046e-05,-1.046e-05,5.158936728966964,0.0019,-0.0019,0.5664495275139878,0.139,-0.532,1.4207440958491162,0.0673,-0.0673,6.532334292222349,18.7,-18.7,1.3270750014599193,0.9,-0.3,7.057036981697891,,,6.060640735124765,420.33,-136.7,3.7184382563554808,2.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.6790482561804436,0.315,-0.105,296.28613,48.22467,15.714
7,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,1.2716096684503242,1.781e-05,-1.781e-05,5.196031951252215,0.00461,-0.00461,0.5624688569178291,0.212,-0.523,1.2322686734807833,0.165,-0.165,5.427150238391005,16.8,-16.8,0.9516578757114464,0.52,-0.17,7.215975002651466,,,6.695477480978234,793.91,-258.2,2.772588722239781,3.0,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.6790482561804436,0.315,-0.105,296.28613,48.22467,15.714
8,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.123672468781356,2.128e-05,-2.128e-05,4.892231040523972,0.00253,-0.00253,0.7742662318447373,7.133,-0.044,1.795419430059542,0.136,-0.136,5.458308102856978,5.8,-5.8,3.6941157209091826,6.45,-9.67,7.202661196523238,,,6.644076150459651,349.28,-365.49,3.885679030088544,1.0,q1_q17_dr25_tce,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.084513364288608,0.322,-0.483,298.86435,42.151569,12.66
9,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.8372432565694368,1.088e-05,-1.088e-05,5.162623276979482,0.000517,-0.000517,0.050693114315518116,0.262,-0.052,1.511758929229005,0.0241,-0.0241,8.500108068358424,33.3,-33.3,1.9110228900548727,0.22,-0.49,6.398594934535208,,,3.457892725338701,4.46,-6.66,5.093136515607999,1.0,q1_q17_dr25_tce,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.6141039732194924,0.033,-0.072,286.99948,48.37579,15.841
10,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,1.244331344043603,2.7e-08,-2.7e-08,4.818370910820975,8.7e-06,-8.7e-06,0.597736995755287,0.001,-0.001,1.009121476782268,0.00107,-0.00107,9.563248229345671,4.2,-4.2,2.641910398597665,0.51,-0.51,7.200424892944957,,,6.636550048089151,106.21,-95.76,8.367602100844996,1.0,q1_q17_dr25_tce,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.6749832099322741,0.038,-0.038,286.80847,49.316399,11.338
11,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,0,1,0,0,1.1646295337668027,4.3e-08,-4.3e-08,4.806955601101188,1.6e-05,-1.6e-05,0.20212418409013436,0.159,-0.216,1.586914146195221,0.00203,-0.00203,8.806229346683947,1.7,-1.7,2.8390784635086144,0.81,-0.91,7.6251071482389,,,8.330844335930504,651.59,-654.46,8.690625354364276,1.0,q1_q17_dr25_tce,6440.0,76.0,-89.0,4.019,0.033,-0.027,1.082482906738226,0.099,-0.11,292.24728,47.969521,10.463
12,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,1.509064590913013,1.98e-07,-1.98e-07,4.804999441356981,4.71e-05,-4.71e-05,0.4891933236388768,0.007,-0.007,1.434710645881317,0.00653,-0.00653,9.12114843747994,6.6,-6.6,2.7466296830696852,1.11,-1.11,7.3277805384216315,,,7.143356905218376,307.23,-276.48,7.463076142634679,1.0,q1_q17_dr25_tce,6225.0,112.0,-137.0,4.169,0.055,-0.045,0.8964961045459755,0.11,-0.11,281.28812,42.45108,13.563
13,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.5495210372059527,6.536e-06,-6.536e-06,4.905150178083535,0.00143,-0.00143,0.049742091894814065,0.395,-0.051,1.2892877431777403,0.0427,-0.0427,4.883559211528279,3.0,-3.0,0.7701082216960736,0.17,-0.12,7.095893221097532,,,6.217523843503089,197.96,-130.54,3.9435216724875173,2.0,q1_q17_dr25_tce,5833.0,105.0,-117.0,4.407,0.085,-0.114,0.7040871205982797,0.143,-0.107,295.64871,48.49556,12.772
14,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.527442859321793,1.98e-06,-1.98e-06,5.146561995676393,0.000131,-0.000131,1.2478939913838643,2.851,-0.673,1.5346928142817842,0.0114,-0.0114,9.797293356129725,31.9,-31.9,5.020651629371744,39.76,-13.31,6.625392368007956,,,4.342245764662037,58.89,-19.99,6.434707019550176,1.0,q1_q17_dr25_tce,5795.0,155.0,-172.0,4.554,0.033,-0.176,0.6141039732194924,0.224,-0.075,297.07993,47.597401,15.472
15,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.0157279096737497,2.068e-05,-2.068e-05,5.156086834460986,0.000842,-0.000842,0.5900064216404319,0.007,-0.005,2.581390383133157,0.0598,-0.0598,9.096017592721482,53.3,-53.3,2.1016921506146558,0.76,-0.68,6.261491684321042,,,2.9279886214674717,6.66,-4.88,5.373888553395111,1.0,q1_q17_dr25_tce,5043.0,151.0,-151.0,4.591,0.072,-0.048,0.5187937934151676,0.072,-0.065,289.25821,47.635319,15.487
16,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.0067409027267433,1.123e-06,-1.123e-06,5.223336048446432,4.5e-05,-4.5e-05,0.7251302264129961,0.031,-0.034,1.7575871912541436,0.00235,-0.00235,11.215664326071453,21.9,-21.9,3.9178062501838733,16.03,-5.0,6.54965074223381,,,4.042524813492304,54.55,-16.4,7.748460023899697,1.0,q1_q17_dr25_tce,6117.0,182.0,-200.0,4.496,0.052,-0.208,0.6662897263900626,0.308,-0.096,295.81454,47.69035,15.341
17,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.86047583618068,1.361e-05,-1.361e-05,5.203356811117986,0.000623,-0.000623,0.25619140536041013,0.118,-0.101,2.3454338322788857,0.06,-0.06,9.257223957875032,39.9,-39.9,2.190535589185423,0.89,-0.89,6.39024066706535,,,3.421326752957321,12.01,-8.91,5.718342625987531,1.0,q1_q17_dr25_tce,5152.0,168.0,-153.0,4.517,0.088,-0.072,0.5799784824543073,0.088,-0.088,297.15442,47.668701,15.788
18,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.329575719711571,1.037e-05,-1.037e-05,5.160537849119408,0.000877,-0.000877,0.32714314133269456,0.004,-0.386,1.4557038124920583,0.0309,-0.0309,7.1618547144167914,16.8,-16.8,1.244154593958768,0.2,-0.24,6.476972362889683,,,3.7577056450437887,12.49,-11.7,4.4796069630127455,1.0,q1_q17_dr25_tce,4856.0,131.0,-146.0,4.583,0.065,-0.035,0.5282725373697112,0.056,-0.068,288.13824,47.724449,15.302
19,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.9500875956481645,5.509e-06,-5.509e-06,5.1509939221871965,0.000713,-0.000713,0.2295231582782488,0.196,-0.258,0.9486030213414015,0.0311,-0.0311,7.556793819916019,34.4,-34.4,1.3480731482996928,0.26,-0.15,6.520621127558696,,,3.9326096390365346,16.4,-9.88,4.1956970564823886,1.0,q1_q17_dr25_tce,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.5140205146625099,0.062,-0.036,283.71088,47.86327,15.784
20,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.307351433383305,7.534e-06,-7.534e-06,5.1459682545890715,0.00234,-0.00234,0.04305948946044697,0.36,-0.044,1.528856726473817,0.0686,-0.0686,5.988710758911361,9.5,-9.5,0.9477893989335261,0.13,-0.16,6.9726062513017535,,,5.7246955962364074,96.64,-86.33,3.8958936234982624,1.0,q1_q17_dr25_tce,4989.0,149.0,-149.0,4.504,0.09,-0.06,0.5982868995359851,0.067,-0.082,283.76547,47.804298,15.269
