,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,7.476494408735566,1.67708897,-1.87256063,0.0,1.3278887286495673,0.110517,-0.118828,0.0,2.6100697927420065,,,0.0,1.12,,,0.0,7.858542679414788,492.67126,-308.97002,0.0,2.212530180053159,1.55012,-0.97213,0.0,Mass,0.31677158983912956,0.008388,-0.00603,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 V,5338.0,25.0,-25.0,0.0,0.6575200029167942,0.01,-0.01,0.0,0.91,0.11,-0.11,0.0,0.405,0.047,-0.047,0.0,[Fe/H],4.45,0.02,-0.02,0.0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,2.940869458104803,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
6,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,6.902038971986028,3.2,-3.2,0.0,1.2809338454620642,,,0.0,2.6026896854443837,,,0.0,1.11,,,0.0,8.093920464658108,,,0.0,2.424802725718295,,,0.0,Msini,0.07696104113612832,0.01,-0.01,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G6 III,4979.0,18.0,-18.0,0.0,2.2512917986064953,,,0.0,2.3,,,0.0,-0.052,0.023,-0.023,0.0,[Fe/H],2.82,0.06,-0.06,0.0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,4.34668439052659,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539
9,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,6.117656572345742,2.1,-4.5,0.0,0.8471549930392929,0.004,-0.009,0.0,2.667228206581955,,,0.0,1.19,,,0.0,6.451196856489088,82.63,-120.77,0.0,1.095273387402595,0.26,-0.38,0.0,Msini,0.08617769624105233,0.14,-0.06,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,1.7749523509116738,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,4.291405568770929,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
10,24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,6.784457062637643,32.4,-13.8,0.0,1.1249295969854831,0.05,-0.02,0.0,2.7013612129514133,,,0.0,1.24,,,0.0,5.614295308154665,111.24,-69.92,0.0,0.6205764877251099,0.35,-0.22,0.0,Msini,0.2546422183735807,0.16,-0.09,0.0,6.044189272017143,,,,6.820115242834518,,,,0,K0 IV,5098.0,44.0,-44.0,0.0,1.7749523509116738,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,[Fe/H],3.5,0.1,-0.1,0.0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,4.291405568770929,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
15,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,11.347038282562409,,,,2.772588722239781,,,0.0,2.6100697927420065,,,0.0,1.13,,,0.0,7.7767866743720315,794.5,-794.5,0.0,2.1400661634962708,2.5,-2.5,0.0,Mass,0.07011455648048513,,,,6.044189272017143,,,,6.820115242834518,,,,0,M8.5,2936.0,182.0,-182.0,0.0,0.20701416938432612,0.01,-0.01,0.0,0.02,,,0.0,0.009605241264559068,,,,,5.01,0.0,0.0,0.0,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,4.799288445598697,5.4783417,-5.4783417,12.691995611621406,,,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
18,2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,Imaging,2009,W. M. Keck Observatory,0,8.900753464136352,1934.5,-584.0,0.0,2.085603399420442,,,,2.425687290128029,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,8.803646509258181,26629.91,-6657.48,0.0,3.08876713952118,83.79,-20.95,0.0,Mass,0.23111172096338664,0.06,-0.06,0.0,6.044189272017143,,,,7.638198244285779,70.0,-70.0,0.0,0,M8.5,2300.0,80.0,-80.0,0.0,0.11332868530700317,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,0.009605241264559068,,,,,5.22,0.05,-0.05,0.0,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,3.5297573899076116,0.4759328,-0.4759328,12.691995611621406,,,11.826,0.031,-0.031,17.3961,0.004861,-0.004861
20,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,5.817408764484109,2.5,-2.5,0.0,0.688134638736401,0.02,-0.02,0.0,2.5877640352277083,,,0.0,1.1,,,0.0,8.387861106487149,572.094,-572.094,0.0,2.695977619867941,1.8,-1.8,0.0,Msini,0.2546422183735807,0.09,-0.09,0.0,6.044189272017143,,,,6.820115242834518,,,,0,F6 V,6331.0,61.0,-61.0,0.0,0.8796267475025636,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,[Fe/H],4.43,0.05,-0.05,0.0,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,3.821156935920772,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512
23,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,6.983789965258135,2.0,-2.0,0.0,1.1314021114911006,0.02,-0.02,0.0,2.653241964607215,,,0.0,1.18,,,0.0,6.690941651362797,22.25,-19.07,0.0,1.2612978709452054,0.07,-0.06,0.0,Msini,0.03149866705937099,0.014,-0.014,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G0 V,5872.0,92.94,-113.53,0.0,0.7929925155296614,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,2.6944041829349272,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
24,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,7.779885115070522,100.0,-87.0,0.0,1.5260563034950494,0.1,-0.1,0.0,2.7212954278522306,,,0.0,1.27,,,0.0,5.151098439846218,20.976,-23.201,0.0,0.43178241642553783,0.066,-0.073,0.0,Msini,0.09349034308733889,0.047,-0.096,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G1 V,5872.0,92.94,-113.53,0.0,0.7929925155296614,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,2.6944041829349272,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
25,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,9.547026871355778,4018.0,-5095.0,0.0,2.533696813957432,2.1,-2.9,0.0,2.6741486494265287,,,0.0,1.2,,,0.0,6.2580889550337275,92.17,-152.55,0.0,0.9707789171582247,0.29,-0.48,0.0,Msini,0.14842000511827327,0.09,-0.16,0.0,6.044189272017143,,,,6.820115242834518,,,,0,G0V,5872.0,92.94,-113.53,0.0,0.7929925155296614,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,[M/H],4.3,0.07,-0.07,0.0,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,2.6944041829349272,0.0289,-0.0289,5.03352,0.023,-0.023,3.75,0.34,-0.34,4.87837,0.0038294,-0.0038294
